Dataset,Classifier,Method,Metric,N_Folds,Mean,Std
colon,CATBOOST,QUBO-SB (K=20),RECALL,5,0.82,0.1753567791675018
colon,CATBOOST,QUBO-SB (K=20),F1,5,0.8325396825396826,0.12859837068292448
colon,CATBOOST,QUBO-SB (K=20),AUC,5,0.89125,0.0965822188604093
colon,CATBOOST,QUBO-SB (K=50),ACCURACY,5,0.773076923076923,0.11024895621791637
colon,CATBOOST,QUBO-SB (K=50),PRECISION,5,0.61,0.3847076812334269
colon,CATBOOST,QUBO-SB (K=50),RECALL,5,0.48,0.343874977280988
colon,CATBOOST,QUBO-SB (K=50),F1,5,0.5314285714285714,0.35991936612716285
colon,CATBOOST,QUBO-SB (K=50),AUC,5,0.78,0.1329796741987286
colon,CATBOOST,QUBO-SB (K=100),ACCURACY,5,0.7397435897435898,0.17447205985850256
colon,CATBOOST,QUBO-SB (K=100),PRECISION,5,0.5166666666666666,0.38369548110737794
colon,CATBOOST,QUBO-SB (K=100),RECALL,5,0.44000000000000006,0.41743262929483604
colon,CATBOOST,QUBO-SB (K=100),F1,5,0.46428571428571425,0.402479559628023
colon,CATBOOST,QUBO-SB (K=100),AUC,5,0.7787499999999999,0.19968725547715857
colon,CATBOOST,RFECV (K=600),ACCURACY,2,0.8814102564102564,0.04986009354520525
colon,CATBOOST,RFECV (K=600),PRECISION,2,0.8,0.0
colon,CATBOOST,RFECV (K=600),RECALL,2,0.9,0.14142135623730948
colon,CATBOOST,RFECV (K=600),F1,2,0.8444444444444444,0.06285393610547083
colon,CATBOOST,RFECV (K=600),AUC,2,0.925,0.07071067811865474
colon,CATBOOST,RFECV (K=2000),ACCURACY,2,0.8397435897435898,0.009065471553673654
colon,CATBOOST,RFECV (K=2000),PRECISION,2,0.9,0.14142135623730948
colon,CATBOOST,RFECV (K=2000),RECALL,2,0.65,0.21213203435596428
colon,CATBOOST,RFECV (K=2000),F1,2,0.7333333333333334,0.0942809041582064
colon,CATBOOST,RFECV (K=2000),AUC,2,0.871875,0.03977475644174331
colon,CATBOOST,RFECV (K=400),ACCURACY,1,0.8333333333333334,0.0
colon,CATBOOST,RFECV (K=400),PRECISION,1,0.75,0.0
colon,CATBOOST,RFECV (K=400),RECALL,1,0.75,0.0
colon,CATBOOST,RFECV (K=400),F1,1,0.75,0.0
colon,CATBOOST,RFECV (K=400),AUC,1,0.8125,0.0
colon,KNN,ANOVA (K=10),ACCURACY,5,0.885897435897436,0.07258040951137518
colon,KNN,ANOVA (K=10),PRECISION,5,0.8699999999999999,0.12041594578792293
colon,KNN,ANOVA (K=10),RECALL,5,0.8099999999999999,0.2073644135332772
colon,KNN,ANOVA (K=10),F1,5,0.821111111111111,0.12840426130385102
colon,KNN,ANOVA (K=10),AUC,5,0.881875,0.110007102043459
colon,KNN,ANOVA (K=20),ACCURACY,5,0.8384615384615385,0.0070220840705790275
colon,KNN,ANOVA (K=20),PRECISION,5,0.86,0.12942179105544785
colon,KNN,ANOVA (K=20),RECALL,5,0.6799999999999999,0.12549900398011135
colon,KNN,ANOVA (K=20),F1,5,0.7433333333333333,0.04801620096962647
colon,KNN,ANOVA (K=20),AUC,5,0.8825,0.08678840108274838
colon,KNN,ANOVA (K=50),ACCURACY,5,0.885897435897436,0.09348870555880609
colon,KNN,ANOVA (K=50),PRECISION,5,0.8400000000000001,0.1673320053068151
colon,KNN,ANOVA (K=50),RECALL,5,0.86,0.12942179105544785
colon,KNN,ANOVA (K=50),F1,5,0.8425396825396826,0.12236849626767007
colon,KNN,ANOVA (K=50),AUC,5,0.89125,0.09845981889837092
colon,KNN,ANOVA (K=100),ACCURACY,5,0.8717948717948717,0.04129518822668307
colon,KNN,ANOVA (K=100),PRECISION,5,0.8300000000000001,0.09746794344808962
colon,KNN,ANOVA (K=100),RECALL,5,0.82,0.1036822067666386
colon,KNN,ANOVA (K=100),F1,5,0.8192063492063493,0.05436478971073338
colon,KNN,ANOVA (K=100),AUC,5,0.86625,0.07494789856960633
colon,KNN,Lasso (K=58),ACCURACY,1,0.9230769230769231,0.0
colon,KNN,Lasso (K=58),PRECISION,1,1.0,0.0
colon,KNN,Lasso (K=58),RECALL,1,0.8,0.0
colon,KNN,Lasso (K=58),F1,1,0.8888888888888888,0.0
colon,KNN,Lasso (K=58),AUC,1,1.0,0.0
colon,KNN,Lasso (K=36),ACCURACY,1,0.8461538461538461,0.0
colon,KNN,Lasso (K=36),PRECISION,1,0.8,0.0
colon,KNN,Lasso (K=36),RECALL,1,0.8,0.0
colon,KNN,Lasso (K=36),F1,1,0.8,0.0
colon,KNN,Lasso (K=36),AUC,1,0.8625,0.0
colon,KNN,Lasso (K=719),ACCURACY,1,0.75,0.0
colon,KNN,Lasso (K=719),PRECISION,1,0.6,0.0
colon,KNN,Lasso (K=719),RECALL,1,0.75,0.0
colon,KNN,Lasso (K=719),F1,1,0.6666666666666666,0.0
colon,KNN,Lasso (K=719),AUC,1,0.75,0.0
colon,KNN,Lasso (K=57),ACCURACY,1,0.9166666666666666,0.0
colon,KNN,Lasso (K=57),PRECISION,1,1.0,0.0
colon,KNN,Lasso (K=57),RECALL,1,0.75,0.0
colon,KNN,Lasso (K=57),F1,1,0.8571428571428571,0.0
colon,KNN,Lasso (K=57),AUC,1,0.875,0.0
colon,KNN,Lasso (K=618),ACCURACY,1,0.9166666666666666,0.0
colon,KNN,Lasso (K=618),PRECISION,1,0.8,0.0
colon,KNN,Lasso (K=618),RECALL,1,1.0,0.0
colon,KNN,Lasso (K=618),F1,1,0.8888888888888888,0.0
colon,KNN,Lasso (K=618),AUC,1,0.890625,0.0
colon,KNN,None,ACCURACY,5,0.7448717948717949,0.1254839415717144
colon,KNN,None,PRECISION,5,0.75,0.25
colon,KNN,None,RECALL,5,0.47000000000000003,0.2659887215654077
colon,KNN,None,F1,5,0.5436507936507936,0.2445230238572047
colon,KNN,None,AUC,5,0.8300000000000001,0.056837212721948284
colon,KNN,QUBO-SA (K=10),ACCURACY,5,0.7282051282051282,0.09988487785016645
colon,KNN,QUBO-SA (K=10),PRECISION,5,0.6666666666666666,0.2041241452319315
colon,KNN,QUBO-SA (K=10),RECALL,5,0.47000000000000003,0.31937438845342625
colon,KNN,QUBO-SA (K=10),F1,5,0.5171428571428571,0.21794754824693047
colon,KNN,QUBO-SA (K=10),AUC,5,0.820625,0.06349212549600146
colon,KNN,QUBO-SA (K=20),ACCURACY,5,0.7756410256410257,0.10256410256410256
colon,KNN,QUBO-SA (K=20),PRECISION,5,0.7300000000000001,0.19235384061671346
colon,KNN,QUBO-SA (K=20),RECALL,5,0.5900000000000001,0.2701851217221259
colon,KNN,QUBO-SA (K=20),F1,5,0.6311111111111111,0.19913392726417645
colon,KNN,QUBO-SA (K=20),AUC,5,0.7837500000000001,0.19197015148845403
colon,KNN,QUBO-SA (K=50),ACCURACY,5,0.5948717948717949,0.10835040071897832
colon,KNN,QUBO-SA (K=50),PRECISION,5,0.3,0.28284271247461906
colon,KNN,QUBO-SA (K=50),RECALL,5,0.32,0.2949576240750525
colon,KNN,QUBO-SA (K=50),F1,5,0.3088888888888889,0.2874322249689782
colon,KNN,QUBO-SA (K=50),AUC,5,0.6625,0.14772030687248114
colon,KNN,QUBO-SA (K=100),ACCURACY,5,0.6474358974358975,0.1411712534970849
colon,KNN,QUBO-SA (K=100),PRECISION,5,0.46333333333333326,0.29306806187111023
colon,KNN,QUBO-SA (K=100),RECALL,5,0.41,0.2701851217221259
colon,KNN,QUBO-SA (K=100),F1,5,0.4331746031746032,0.2776509914735828
colon,KNN,QUBO-SA (K=100),AUC,5,0.624375,0.25117302925473506
colon,KNN,QUBO-SB (K=10),ACCURACY,5,0.7794871794871795,0.15361895617057658
