method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
ANOVA (K=100),svm,0.8551282051282051,0.08749471666213325,0.7976911976911977,0.12103333203262759,0.7966666666666666,0.14452988925785867,0.82,0.17535677916750184,0.8825,0.08551315688243537,0.95,0.0,0.005406483200931689,0.001338329683101668,0.06116479380070814,0.016463560715351558
ANOVA (K=100),xgboost,0.7730769230769231,0.04169131420899768,0.64,0.1460593486680443,0.75,0.16583123951777,0.63,0.2252776065213762,0.836875,0.08839939550132685,0.95,0.0,0.005406483200931689,0.001338329683101668,0.32201714740003806,0.052711230904249944
ANOVA (K=20),catboost,0.8551282051282051,0.11427529420891978,0.7611111111111111,0.19404721329525534,0.8433333333333334,0.1507389207279335,0.73,0.27748873851023215,0.8925000000000001,0.08985665668162819,0.99,0.0,0.004589851599303074,0.0013313705330373804,0.5309506066012546,0.0413186717101106
ANOVA (K=20),knn,0.8384615384615385,0.0070220840705790275,0.7433333333333334,0.04801620096962649,0.86,0.12942179105544785,0.6799999999999999,0.12549900398011135,0.8825,0.08678840108274842,0.99,0.0,0.004589851599303074,0.0013313705330373804,0.2403337379997538,0.057704099513139206
ANOVA (K=20),opf,0.7884615384615385,0.0959399329942037,0.6587301587301587,0.14655702629063,0.7833333333333333,0.2173067468400883,0.58,0.13038404810405296,0.9175000000000001,0.1029259442511945,0.99,0.0,0.004589851599303074,0.0013313705330373804,0.030720808799378573,0.01064171559772367
ANOVA (K=20),rf,0.8384615384615385,0.1239187290668514,0.7444444444444445,0.19876159799998133,0.8133333333333332,0.18499249234015477,0.73,0.27748873851023215,0.9112500000000001,0.09746794344808962,0.99,0.0,0.004589851599303074,0.0013313705330373804,0.6390657489995647,0.08700526288185469
ANOVA (K=20),svm,0.8538461538461538,0.070716489079598,0.7862626262626262,0.11663408526641811,0.8066666666666666,0.1422048600513436,0.8099999999999999,0.2073644135332772,0.8800000000000001,0.0969656833627237,0.99,0.0,0.004589851599303074,0.0013313705330373804,0.06895874260007986,0.04850723539852713
ANOVA (K=20),xgboost,0.8205128205128205,0.1107509778408397,0.7155555555555555,0.21221931353445903,0.82,0.20493901531919195,0.72,0.27973201461398733,0.8625,0.12616643273866468,0.99,0.0,0.004589851599303074,0.0013313705330373804,0.30789534499926957,0.0574790211131729
ANOVA (K=50),catboost,0.885897435897436,0.09348870555880613,0.8425396825396826,0.12236849626767007,0.8400000000000001,0.1673320053068151,0.86,0.12942179105544785,0.8925000000000001,0.08424758898627303,0.975,0.0,0.005681638400710653,0.001748342967491845,1.105316021800536,0.2028861856576489
ANOVA (K=50),knn,0.885897435897436,0.09348870555880613,0.8425396825396826,0.12236849626767007,0.8400000000000001,0.1673320053068151,0.86,0.12942179105544785,0.89125,0.09845981889837092,0.975,0.0,0.005681638400710653,0.001748342967491845,0.2019579909996537,0.023308489973353094
